pollster,numeric_grade,state,candidate_name,pct,sample_size,pollscore,population,end_date,national_poll,recency
Siena/NYT,3,Wisconsin,Donald Trump,43,661,-1.5,lv,2024-08-08,0,89
InsiderAdvantage,2,Wisconsin,Donald Trump,48.6,800,-0.3,lv,2024-08-07,0,90
RMG Research,2.3,National,Donald Trump,46,2000,-0.4,rv,2024-08-07,1,90
Ipsos,2.8,National,Donald Trump,37,1342,-0.9,rv,2024-08-07,1,90
Ipsos,2.8,National,Donald Trump,47,1342,-0.9,rv,2024-08-07,1,90
Emerson,2.9,Montana,Donald Trump,57.5,1000,-1.1,lv,2024-08-06,0,91
Emerson,2.9,Montana,Donald Trump,53.5,1000,-1.1,lv,2024-08-06,0,91
YouGov,3,National,Donald Trump,43,1413,-1.1,rv,2024-08-06,1,91
Cygnal,2.1,North Carolina,Donald Trump,47.2,600,-1.1,lv,2024-08-05,0,92
SurveyUSA,2.8,National,Donald Trump,45,1510,-1.3,lv,2024-08-05,1,92
RMG Research,2.3,Wisconsin,Donald Trump,45,800,-0.4,rv,2024-08-05,0,92
Marist,2.9,National,Donald Trump,48,1513,-0.9,rv,2024-08-04,1,93
Marist,2.9,National,Donald Trump,45,1513,-0.9,rv,2024-08-04,1,93
Hart/POS,2.6,National,Donald Trump,48,1001,-0.7,rv,2024-08-04,1,93
YouGov,3,National,Donald Trump,49,3092,-1.1,lv,2024-08-02,1,95
YouGov,3,National,Donald Trump,47,3092,-1.1,lv,2024-08-02,1,95
UMass Amherst/YouGov,2.4,National,Donald Trump,43,1000,-0.4,rv,2024-08-01,1,96
Siena,2.7,New York,Donald Trump,39,1199,-0.8,lv,2024-08-01,0,96
Siena,2.7,New York,Donald Trump,37,1199,-0.8,lv,2024-08-01,0,96
Marquette Law School,3,Wisconsin,Donald Trump,50,877,-1.1,rv,2024-08-01,0,96
Marquette Law School,3,Wisconsin,Donald Trump,49,801,-1.1,lv,2024-08-01,0,96
Marquette Law School,3,Wisconsin,Donald Trump,43,877,-1.1,rv,2024-08-01,0,96
Marquette Law School,3,Wisconsin,Donald Trump,45,801,-1.1,lv,2024-08-01,0,96
Marquette Law School,3,National,Donald Trump,48,879,-1.1,rv,2024-08-01,1,96
Marquette Law School,3,National,Donald Trump,47,683,-1.1,lv,2024-08-01,1,96
Marquette Law School,3,National,Donald Trump,41,879,-1.1,rv,2024-08-01,1,96
Marquette Law School,3,National,Donald Trump,42,683,-1.1,lv,2024-08-01,1,96
RMG Research,2.3,National,Donald Trump,42,3000,-0.4,rv,2024-07-31,1,97
YouGov,3,National,Donald Trump,44,1434,-1.1,rv,2024-07-30,1,98
Civiqs,2.4,National,Donald Trump,45,1123,-0.2,rv,2024-07-30,1,98
GQR,2,Pennsylvania,Donald Trump,46,500,0.1,lv,2024-07-30,0,98
Ipsos,2.8,National,Donald Trump,42,876,-0.9,rv,2024-07-28,1,100
Emerson,2.9,New Hampshire,Donald Trump,47.6,1000,-1.1,rv,2024-07-28,0,100
Emerson,2.9,New Hampshire,Donald Trump,41.4,1000,-1.1,rv,2024-07-28,0,100
Leger,2,National,Donald Trump,41,786,0,lv,2024-07-28,1,100
Susquehanna,2.3,Pennsylvania,Donald Trump,43,600,-0.3,lv,2024-07-28,0,100
U. North Florida,2.8,Florida,Donald Trump,49,774,-0.6,lv,2024-07-27,0,101
St. Anselm,2.4,New Hampshire,Donald Trump,44,2083,-0.5,rv,2024-07-25,0,103
Ipsos,2.8,National,Donald Trump,38,1238,-0.9,a,2024-07-25,1,103
U. New Hampshire,2.6,Maine,Donald Trump,40,1445,-0.3,lv,2024-07-25,0,103
U. New Hampshire,2.6,Maine,Donald Trump,45,1445,-0.3,lv,2024-07-25,0,103
U. New Hampshire,2.6,New Hampshire,Donald Trump,43,2875,-0.3,lv,2024-07-25,0,103
U. New Hampshire,2.6,New Hampshire,Donald Trump,46,2875,-0.3,lv,2024-07-25,0,103
SurveyUSA,2.8,Minnesota,Donald Trump,40,656,-1.3,lv,2024-07-25,0,103
AtlasIntel,2.7,National,Donald Trump,50.1,1980,-0.8,rv,2024-07-25,1,103
AtlasIntel,2.7,National,Donald Trump,47.7,1980,-0.8,rv,2024-07-25,1,103
Angus Reid,2,National,Donald Trump,42,1743,-0.1,rv,2024-07-25,1,103
U. New Hampshire,2.6,Maine CD-1,Donald Trump,36,732,-0.3,lv,2024-07-25,0,103
U. New Hampshire,2.6,Maine CD-1,Donald Trump,39,732,-0.3,lv,2024-07-25,0,103
U. New Hampshire,2.6,Maine CD-2,Donald Trump,44,701,-0.3,lv,2024-07-25,0,103
U. New Hampshire,2.6,Maine CD-2,Donald Trump,51,701,-0.3,lv,2024-07-25,0,103
Siena/NYT,3,National,Donald Trump,48,1142,-1.5,rv,2024-07-24,1,104
Siena/NYT,3,National,Donald Trump,48,1142,-1.5,lv,2024-07-24,1,104
Siena/NYT,3,National,Donald Trump,42,1142,-1.5,rv,2024-07-24,1,104
Siena/NYT,3,National,Donald Trump,43,1142,-1.5,lv,2024-07-24,1,104
SurveyMonkey,2,National,Donald Trump,39,5265,0.2,a,2024-07-24,1,104
Beacon/Shaw,2.8,Wisconsin,Donald Trump,46,1046,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Wisconsin,Donald Trump,50,1046,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Wisconsin,Donald Trump,50,1046,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Wisconsin,Donald Trump,49,1046,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Pennsylvania,Donald Trump,43,1034,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Pennsylvania,Donald Trump,49,1034,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Pennsylvania,Donald Trump,49,1034,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Pennsylvania,Donald Trump,44,1034,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Minnesota,Donald Trump,41,1071,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Minnesota,Donald Trump,46,1071,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Minnesota,Donald Trump,46,1071,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Minnesota,Donald Trump,45,1071,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Michigan,Donald Trump,45,1012,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Michigan,Donald Trump,49,1012,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Michigan,Donald Trump,46,1012,-1.1,rv,2024-07-24,0,104
Beacon/Shaw,2.8,Michigan,Donald Trump,48,1012,-1.1,rv,2024-07-24,0,104
Ipsos,2.8,National,Donald Trump,39,1241,-0.9,a,2024-07-23,1,105
Ipsos,2.8,National,Donald Trump,42,1018,-0.9,rv,2024-07-23,1,105
Ipsos,2.8,National,Donald Trump,34,1241,-0.9,a,2024-07-23,1,105
Ipsos,2.8,National,Donald Trump,38,1018,-0.9,rv,2024-07-23,1,105
RMG Research,2.3,National,Donald Trump,48,2000,-0.4,rv,2024-07-23,1,105
Emerson,2.9,Arizona,Donald Trump,52.6,800,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Arizona,Donald Trump,47.5,800,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Georgia,Donald Trump,51.1,800,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Georgia,Donald Trump,45.9,800,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Michigan,Donald Trump,50.9,800,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Michigan,Donald Trump,44.1,800,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Wisconsin,Donald Trump,49.4,845,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Wisconsin,Donald Trump,44.9,845,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Pennsylvania,Donald Trump,51.1,850,-1.1,rv,2024-07-23,0,105
Emerson,2.9,Pennsylvania,Donald Trump,46.1,850,-1.1,rv,2024-07-23,0,105
YouGov,3,National,Donald Trump,46,1155,-1.1,lv,2024-07-23,1,105
YouGov,3,National,Donald Trump,44,1435,-1.1,rv,2024-07-23,1,105
Marist,2.9,National,Donald Trump,46,1117,-0.9,rv,2024-07-22,1,106
Marist,2.9,National,Donald Trump,42,1117,-0.9,rv,2024-07-22,1,106
Landmark Communications,2.1,Georgia,Donald Trump,48,400,-0.6,lv,2024-07-22,0,106
Landmark Communications,2.1,Georgia,Donald Trump,45.8,400,-0.6,lv,2024-07-22,0,106
YouGov,3,National,Donald Trump,43,1178,-1.1,rv,2024-07-22,1,106
YouGov,3,National,Donald Trump,45,1115,-1.1,rv,2024-07-22,1,106
YouGov,3,National,Donald Trump,43,1178,-1.1,rv,2024-07-22,1,106
YouGov,3,National,Donald Trump,46,1178,-1.1,rv,2024-07-22,1,106
YouGov,3,National,Donald Trump,46,1178,-1.1,rv,2024-07-22,1,106
YouGov,3,National,Donald Trump,46,1178,-1.1,rv,2024-07-22,1,106
YouGov,3,National,Donald Trump,46,1178,-1.1,rv,2024-07-22,1,106
Praecones Analytica,2,New Hampshire,Donald Trump,39.7,601,0,rv,2024-07-21,0,107
Praecones Analytica,2,New Hampshire,Donald Trump,40.2,601,0,rv,2024-07-21,0,107
Echelon Insights,2.7,National,Donald Trump,49,982,-0.8,lv,2024-07-21,1,107
Echelon Insights,2.7,National,Donald Trump,48,982,-0.8,lv,2024-07-21,1,107
Echelon Insights,2.7,National,Donald Trump,43,982,-0.8,lv,2024-07-21,1,107
Echelon Insights,2.7,National,Donald Trump,49,982,-0.8,lv,2024-07-21,1,107
Echelon Insights,2.7,National,Donald Trump,48,982,-0.8,lv,2024-07-21,1,107
Echelon Insights,2.7,National,Donald Trump,50,982,-0.8,lv,2024-07-21,1,107
Quinnipiac,2.8,National,Donald Trump,48,1257,-0.5,rv,2024-07-21,1,107
Quinnipiac,2.8,National,Donald Trump,44,1257,-0.5,rv,2024-07-21,1,107
Quinnipiac,2.8,National,Donald Trump,49,1257,-0.5,rv,2024-07-21,1,107
Quinnipiac,2.8,National,Donald Trump,45,1257,-0.5,rv,2024-07-21,1,107
